location,site,transect,date,human_presence,segment,camera_number,fingers_number,fov_marker_dist_m,tide_height_ft,tide_coefficient,water_clarity_m,box_office_count,sector_count,depth_observed_max,depth_observed_min,depth_observed_mean_m,habitat_relief_m,observation_start_time,video_observer,filename,substrate_primary,file_duration,organism_enter_time,organism_leave_time,common_name,genus_spp,phase,number,bites_per_individual,feeding,passing,guarding,resting,burrowing,attacking,attacked,cleaning,cleaned,following,total_activity_time,notes,screenshot_filename,videograb_filename
Hanauma Bay,Backdoor,B,2020_04_28,0,0500_0559,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Brittany Kernodle,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,522,525,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0500_0559,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Brittany Kernodle,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,531,540,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0500_0559,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Brittany Kernodle,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,535,537,Bird_Wrasse,Gomphosus_varius,IP,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0500_0559,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Brittany Kernodle,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,539,543,Bird_Wrasse,Gomphosus_varius,IP,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0500_0559,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Brittany Kernodle,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,554,556,Bird_Wrasse,Gomphosus_varius,IP,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,602,606,Bird_Wrasse,Gomphosus_varius,NA,1,1,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,608,609,Wrasse_unknown,NA,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,625,633,Saddle_Wrasse,Thalassoma_duperrey,IP,1,1,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,642,646,Belted_Wrasse,Stethojulis_balteata,TP,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,644,646,Belted_Wrasse,Stethojulis_balteata,IP,1,0,0,0,0,0,0,0,0,0,0,100,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,645,647,Wrasse_unknown,NA,NA,1,0,0,0,0,0,0,0,0,0,0,100,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,646,653,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,1,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0600_0659,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Haily Burnett,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,656,659,Wrasse_unknown,NA,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,700,724,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,7,35,65,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,700,702,Christmas_Wrasse,Thalassoma_trilobatum,IP,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,702,708,Belted_Wrasse,Stethojulis_balteata,IP,1,1,20,80,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,728,730,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,731,747,Saddle_Wrasse,Thalassoma_duperrey,TP,1,2,15,85,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,746,747,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0700_0759,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ian Gerber,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,750,757,Belted_Wrasse,Stethojulis_balteata,IP,1,2,30,70,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0800_0859,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ines Costa,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,800,806,Wrasse_unknown,NA,NA,1,2,80,20,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0800_0859,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ines Costa,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,840,840,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0800_0859,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ines Costa,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,845,851,Belted_Wrasse,Stethojulis_balteata,NA,1,3,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0800_0859,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ines Costa,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,856,857,Surgeonfish_unknown,NA,NA,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0800_0859,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Ines Costa,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,859,859,Surgeonfish_unknown,NA,NA,1,0,100,0,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0900_0959,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Julia McDonough,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,910,920,Brown_Surgeonfish,Acanthurus_nigrofuscus,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
Hanauma Bay,Backdoor,B,2020_04_28,0,0900_0959,10,6,3,0.2,53,17.5,0,0,0.25,0.25,0.25,0,1055,Julia McDonough,CameraTrap_HBay_Backdoor_TransectB_2020_04_28,dead_coral,10421,910,914,Wrasse_unknown,NA,NA,1,0,0,100,0,0,0,0,0,0,0,0,100,,,
