Timepoint,Date,ISLAND,LOCATION,TRANSECT,DEPTH,Species,Number,Biomass,SumOfFiLofFi,Num_ha x (1000),bio_t_ha,Biomass g/m2,Ind/m2,Div,Even
Before,19-Nov-19,OA,Channel,CA,0.75,25,241.00,14091.06,944.50,19.28,1.13,113.00,1.93,1.57,0.49
Before,19-Nov-19,OA,Channel,CB ,0.75,19,115.00,12675.48,315.77,9.20,1.01,101.00,0.92,2.00,0.68
Before,19-Nov-19,OA,Keyhole,KA,1,19,51.00,6584.82,77.50,4.08,0.53,53.00,0.41,2.41,0.82
Before,19-Nov-19,OA,Keyhole,KB,1,17,82.00,9347.41,192.02,6.56,0.75,75.00,0.66,2.07,0.73
Before,19-Nov-19,OA,WitchesBrew,WA,0.6,15,46.00,5419.75,99.37,3.68,0.43,43.00,0.37,1.67,0.62
Before,19-Nov-19,OA,WitchesBrew,WB,0.6,8,27.00,11440.84,41.63,2.16,0.92,92.00,0.22,1.75,0.84
Before,29-Jan-20,OA,Backdoors,BA,0.6,20,85.00,5579.90,205.47,6.80,0.45,45.00,0.68,2.03,0.68
Before,29-Jan-20,OA,Backdoors,BB,0.6,22,111.00,10893.72,267.15,8.88,0.87,87.00,0.89,2.30,0.74
Before,29-Jan-20,OA,Channel,CA,0.6,24,249.00,20866.29,1014.56,19.92,1.67,167.00,1.99,1.44,0.45
Before,29-Jan-20,OA,Channel,CB,0.6,19,63.00,9104.30,114.23,5.04,0.73,73.00,0.50,2.33,0.79
Before,29-Jan-20,OA,Keyhole,KA,0.5,8,11.00,1797.21,5.55,0.88,0.14,14.00,0.09,1.89,0.91
Before,29-Jan-20,OA,Keyhole,KA,0.6,7,78.00,4486.74,242.41,6.24,0.36,36.00,0.62,1.25,0.64
Before,29-Jan-20,OA,Keyhole,KA,0.75,6,14.00,2212.84,15.43,1.12,0.18,18.00,0.11,1.54,0.86
Before,29-Jan-20,OA,Keyhole,KB,0.75,25,100.00,11728.54,237.76,8.00,0.94,94.00,0.80,2.23,0.69
Before,29-Jan-20,OA,WitchesBrew,WA,0.5,15,55.00,7912.73,89.21,4.40,0.63,63.00,0.44,2.39,0.88
Before,29-Jan-20,OA,WitchesBrew,WB,0.5,10,38.00,9101.70,69.67,3.04,0.73,73.00,0.30,1.80,0.78
Before,11-Feb-20,OA,Backdoors,BA,0.6,23,133.00,8783.43,396.56,10.64,0.70,70.00,1.06,1.91,0.61
Before,11-Feb-20,OA,Backdoors,BB,0.6,15,133.00,8104.96,415.09,10.64,0.65,65.00,1.06,1.77,0.65
Before,11-Feb-20,OA,Channel,CA,0.75,20,140.00,20781.06,505.54,11.20,1.66,166.00,1.12,1.33,0.44
Before,11-Feb-20,OA,Channel,CB,0.75,13,37.00,3752.38,58.83,2.96,0.30,30.00,0.30,2.02,0.79
Before,11-Feb-20,OA,Keyhole,KA,0.6,10,46.00,2744.78,93.88,3.68,0.22,22.00,0.37,1.79,0.78
Before,11-Feb-20,OA,Keyhole,KB,0.6,10,60.00,2862.36,151.52,4.80,0.23,23.00,0.48,1.57,0.68
Before,11-Feb-20,OA,WitchesBrew,WA,0.5,7,19.00,1457.96,27.82,1.52,0.12,12.00,0.15,1.48,0.76
Before,11-Feb-20,OA,WitchesBrew,WB,0.5,2,2.00,73.76,0.00,0.16,0.01,1.00,0.02,0.69,1.00
During,21-Apr-20,OA,Backdoors,BA,,26,170.00,25292.24,452.05,13.60,2.02,202.34,1.36,2.48,0.76
During,21-Apr-20,OA,Backdoors,BB,,24,143.00,20281.40,382.04,11.44,1.62,162.25,1.14,2.29,0.72
During,21-Apr-20,OA,Channel,CA,,29,154.00,15217.06,379.90,12.32,1.22,121.74,1.23,2.57,0.76
During,21-Apr-20,OA,Channel,CB ,,25,105.00,8614.77,237.62,8.40,0.69,68.92,0.84,2.39,0.74
During,21-Apr-20,OA,Keyhole,KA,,22,118.00,16301.73,312.20,9.44,1.30,130.41,0.94,2.12,0.69
During,21-Apr-20,OA,Keyhole,KB,,29,234.00,25927.78,827.00,18.72,2.07,207.42,1.87,1.92,0.57
During,21-Apr-20,OA,WitchesBrew,WA,,11,50.00,2833.78,102.21,4.00,0.23,22.67,0.40,1.87,0.78
During,21-Apr-20,OA,WitchesBrew,WB,,9,18.00,4340.57,14.39,1.44,0.35,34.72,0.14,2.09,0.95
During,12-May-20,OA,Backdoors,BA,,17,63.00,3728.57,109.33,5.04,0.30,29.83,0.50,2.41,0.85
During,12-May-20,OA,Backdoors,BB,,21,154.00,19129.40,468.32,12.32,1.53,153.04,1.23,2.00,0.66
During,12-May-20,OA,Channel,CA,,22,120.00,13180.79,298.17,9.60,1.05,105.45,0.96,2.30,0.74
During,12-May-20,OA,Channel,CB ,,24,128.00,14103.94,295.49,10.24,1.13,112.83,1.02,2.54,0.80
During,12-May-20,OA,Keyhole,KA,,21,71.00,14531.74,129.83,5.68,1.16,116.25,0.57,2.43,0.80
During,12-May-20,OA,Keyhole,KB,,17,120.00,12055.02,319.04,9.60,0.96,96.44,0.96,2.13,0.75
During,12-May-20,OA,WitchesBrew,WA,,17,76.00,6564.16,154.26,6.08,0.53,52.51,0.61,2.30,0.81
During,12-May-20,OA,WitchesBrew,WB,,13,164.00,20994.63,675.07,13.12,1.68,167.96,1.31,0.98,0.38
During,19-May-20,OA,Backdoors,BA,,19,78.00,7518.95,183.04,6.24,0.60,60.15,0.62,2.01,0.68
During,19-May-20,OA,Backdoors,BB,,13,67.00,15014.46,183.23,5.36,1.20,120.12,0.54,1.47,0.57
During,19-May-20,OA,Channel,CA,,17,89.00,8506.33,235.85,7.12,0.68,68.05,0.71,1.84,0.65
During,19-May-20,OA,Channel,CB ,,19,90.00,13737.27,197.86,7.20,1.10,109.90,0.72,2.30,0.78
During,19-May-20,OA,Keyhole,KA,,13,49.00,6802.42,114.24,3.92,0.54,54.42,0.39,1.56,0.61
During,19-May-20,OA,Keyhole,KB,,21,147.00,11823.79,436.28,11.76,0.95,94.59,1.18,2.02,0.66
During,19-May-20,OA,WitchesBrew,WA,,6,49.00,5497.24,159.75,3.92,0.44,43.98,0.39,0.63,0.35
During,19-May-20,OA,WitchesBrew,WB,,5,19.00,1458.46,36.64,1.52,0.12,11.67,0.15,1.02,0.63
During,26-May-20,OA,Backdoors,BA,,16,81.00,7310.43,189.56,6.48,0.58,58.48,0.65,2.05,0.74
During,26-May-20,OA,Backdoors,BB,,26,302.00,42296.48,1172.19,24.16,3.38,338.37,2.42,1.83,0.56
During,26-May-20,OA,Channel,CA,,23,148.00,25564.13,421.91,11.84,2.05,204.51,1.18,2.15,0.68
During,26-May-20,OA,Channel,CB ,,15,70.00,6347.88,147.49,5.60,0.51,50.78,0.56,2.14,0.79
During,26-May-20,OA,Keyhole,KA,,24,138.00,18379.30,395.75,11.04,1.47,147.03,1.10,2.06,0.65
During,26-May-20,OA,Keyhole,KB,,17,143.00,11137.05,457.71,11.44,0.89,89.10,1.14,1.76,0.62
During,26-May-20,OA,WitchesBrew,WA,,13,58.00,5010.92,98.89,4.64,0.40,40.09,0.46,2.36,0.92
During,26-May-20,OA,WitchesBrew,WB,,11,89.00,11413.98,329.88,7.12,0.91,91.31,0.71,0.78,0.33
During,23-Jun-20,OA,Backdoors,BA,,18,74.00,10533.04,150.06,5.92,0.84,84.26,0.59,2.28,0.79
During,23-Jun-20,OA,Backdoors,BB,,16,59.00,15897.66,116.31,4.72,1.27,127.18,0.47,2.11,0.76
During,23-Jun-20,OA,Channel,CA,,23,102.00,20328.38,211.65,8.16,1.63,162.63,0.82,2.55,0.81
During,23-Jun-20,OA,Channel,CB ,,16,63.00,13325.05,115.35,5.04,1.07,106.60,0.50,2.31,0.83
During,23-Jun-20,OA,Keyhole,KA,,22,54.00,12029.75,80.37,4.32,0.96,96.24,0.43,2.50,0.81
During,23-Jun-20,OA,Keyhole,KB,,14,104.00,16035.89,291.89,8.32,1.28,128.29,0.83,1.84,0.70
During,23-Jun-20,OA,WitchesBrew,WA,,14,108.00,12812.09,334.30,8.64,1.02,102.50,0.86,1.59,0.60
During,23-Jun-20,OA,WitchesBrew,WB,,3,6.00,1749.03,5.55,0.48,0.14,13.99,0.05,0.87,0.79
During,30-Jun-20,OA,Backdoors,BA,,26,149.00,31274.59,421.36,11.92,2.50,250.20,1.19,2.18,0.67
During,30-Jun-20,OA,Backdoors,BB,,22,132.00,28468.43,412.05,10.56,2.28,227.75,1.06,1.76,0.57
During,30-Jun-20,OA,Channel,CA,,19,94.00,23717.64,217.64,7.52,1.90,189.74,0.75,2.23,0.76
During,30-Jun-20,OA,Channel,CB ,,17,76.00,6417.76,204.96,6.08,0.51,51.34,0.61,1.63,0.58
During,30-Jun-20,OA,Keyhole,KA,,18,149.00,13153.78,483.19,11.92,1.05,105.23,1.19,1.76,0.61
During,30-Jun-20,OA,Keyhole,KB,,17,122.00,16765.35,379.16,9.76,1.34,134.12,0.98,1.70,0.60
During,30-Jun-20,OA,WitchesBrew,WA,,19,82.00,13390.30,146.26,6.56,1.07,107.12,0.66,2.62,0.89
During,30-Jun-20,OA,WitchesBrew,WB,,7,15.00,927.49,16.39,1.20,0.07,7.42,0.12,1.62,0.83
During,07-Jul-20,OA,Backdoors,BA,,22,184.00,20469.93,670.13,14.72,1.64,163.76,1.47,1.57,0.51
During,07-Jul-20,OA,Backdoors,BB,,22,92.00,30479.17,213.12,7.36,2.44,243.83,0.74,2.21,0.71
During,07-Jul-20,OA,Channel,CA,,23,140.00,34602.28,365.11,11.20,2.77,276.82,1.12,2.33,0.74
During,07-Jul-20,OA,Channel,CB ,,21,84.00,12183.62,166.15,6.72,0.97,97.47,0.67,2.45,0.81
During,07-Jul-20,OA,Keyhole,KA,,18,91.00,12674.69,215.51,7.28,1.01,101.40,0.73,2.14,0.74
During,07-Jul-20,OA,Keyhole,KB,,27,132.00,23156.38,339.42,10.56,1.85,185.25,1.06,2.31,0.70
During,07-Jul-20,OA,WitchesBrew,WA,,10,55.00,6746.83,136.31,4.40,0.54,53.97,0.44,1.53,0.66
During,07-Jul-20,OA,WitchesBrew,WB,,7,164.00,17313.00,766.57,13.12,1.39,138.50,1.31,0.43,0.22
During,28-Oct-20,OA,Backdoors,BA,,25,133.00,29822.42,318.03,10.64,2.39,238.58,1.06,2.50,0.78
During,28-Oct-20,OA,Backdoors,BB,,21,103.00,19200.24,256.05,8.24,1.54,153.60,0.82,2.15,0.71
During,28-Oct-20,OA,Channel,CA,,21,190.00,34360.76,607.47,15.20,2.75,274.89,1.52,2.05,0.67
During,28-Oct-20,OA,Channel,CB ,,24,79.00,16585.76,135.84,6.32,1.33,132.69,0.63,2.65,0.83
During,28-Oct-20,OA,Keyhole,KA,,13,85.00,23318.23,206.10,6.80,1.87,186.55,0.68,2.02,0.79
During,28-Oct-20,OA,Keyhole,KB,,22,111.00,38751.75,276.69,8.88,3.10,310.01,0.89,2.22,0.72
During,28-Oct-20,OA,WitchesBrew,WA,,14,43.00,6993.00,65.29,3.44,0.56,55.94,0.34,2.24,0.85
During,28-Oct-20,OA,WitchesBrew,WB,,6,12.00,3147.21,10.23,0.96,0.25,25.18,0.10,1.63,0.91
During,24-Nov-20,OA,Backdoors,BA,,17,83.00,14903.24,215.01,6.64,1.19,119.23,0.66,1.83,0.65
During,24-Nov-20,OA,Backdoors,BB,,29,141.00,30349.47,368.19,11.28,2.43,242.80,1.13,2.34,0.69
During,24-Nov-20,OA,Channel,CA,,24,221.00,58228.32,747.17,17.68,4.66,465.83,1.77,2.02,0.63
During,24-Nov-20,OA,Channel,CB ,,16,105.00,24315.43,298.51,8.40,1.95,194.52,0.84,1.81,0.65
During,24-Nov-20,OA,Keyhole,KA,,19,95.00,22147.61,235.03,7.60,1.77,177.18,0.76,2.08,0.71
During,24-Nov-20,OA,Keyhole,KB,,14,73.00,14407.17,166.01,5.84,1.15,115.26,0.58,2.02,0.76
During,24-Nov-20,OA,WitchesBrew,WA,,13,44.00,9424.33,73.46,3.52,0.75,75.39,0.35,2.11,0.82
During,24-Nov-20,OA,WitchesBrew,WB,,9,74.00,13976.46,240.36,5.92,1.12,111.81,0.59,1.06,0.48
During,01-Dec-20,OA,Backdoors,BA,,17,165.00,26622.44,591.62,13.20,2.13,212.98,1.32,1.52,0.54
