Open/Tuesday/COVID,Year,Date,# Monk,Box Office Counts
Before,2018,5-Oct,0,982
Before,2018,8-Oct,0,1448
Before,2018,10-Oct,0,1241
Before,2018,11-Oct,3,1125
Before,2018,12-Oct,0,1110
Before,2018,14-Oct,0,1074
Before,2018,20-Oct,0,805
Before,2018,21-Oct,1,800
Before,2018,24-Oct,1,1078
Before,2018,1-Jun,1,860
Before,2018,4-Jun,0,887
Before,2018,6-Jun,0,1252
Before,2018,7-Jun,0,1025
Before,2018,8-Jun,0,1048
Before,2018,10-Jun,0,663
Before,2018,16-Jun,1,1103
Before,2018,17-Jun,1,1174
Before,2018,20-Jun,0,1468
Before,2018,28-Jun,0,1217
Closure,2020,7-May,2,6
Closure,2020,12-May,0,6
Closure,2020,19-May,2,6
Closure,2020,26-May,0,6
Closure,2020,28-May,0,6
Closure,2020,9-Jun,0,6
Closure,2020,16-Jun,1,6
Closure,2020,23-Jun,0,6
Closure,2020,30-Jun,0,6
Closure,2020,7-Jul,1,6
Closure,2020,17-Jul,1,6
Closure,2020,21-Jul,1,6
Closure,2020,4-Aug,0,6
Closure,2020,14-Aug,1,6
Closure,2020,18-Aug,0,6
Closure,2020,25-Aug,0,6
Closure,2020,1-Sep,2,6
Closure,2020,15-Sep,1,6
Closure,2020,22-Sep,0,6
Closure,2020,29-Sep,0,6
Closure,2020,9-Oct,1,6
Closure,2020,13-Oct,1,6
Closure,2020,20-Oct,2,6
Closure,2020,28-Oct,1,6
Closure,2020,6-Nov,0,6
Closure,2020,17-Nov,0,6
Closure,2020,24-Nov,0,6
Closure,2020,1-Dec,0,6
After,2020,9-Dec,0,743
After,2020,16-Dec,0,702
After,2020,18-Dec,1,724
After,2020,30-Dec,0,841
After,2021,6-Jan,0,720
After,2021,13-Jan,0,525
After,2021,20-Jan,0,534
After,2021,28-Jan,0,478
After,2021,5-Feb,0,585
After,2021,10-Feb,0,728
After,2021,19-Feb,0,786
After,2021,24-Feb,0,862
After,2021,5-Mar,0,727
