Open/Closed,Date,Time,Site,Secchi Distance (m),Box Office Count,Sector Count ,Tide Coefficient,Wind Speed (knt),Wind Direction (deg)
COVID,4/21/20,1046,Channel,12.7,0,0,82,3.1972,119.24
COVID,4/21/20,1046,Channel,11.9,0,0,82,3.1972,119.24
COVID,4/21/20,1046,Channel,12.1,0,0,82,3.1972,119.24
COVID,4/21/20,1046,Channel,11.9,0,0,82,3.1972,119.24
COVID,4/21/20,1126,Keyhole,10.2,0,0,82,3.1972,119.24
COVID,4/21/20,1126,Keyhole,9.3,0,0,82,3.1972,119.24
COVID,4/21/20,1126,Keyhole,10.7,0,0,82,3.1972,119.24
COVID,4/21/20,1126,Keyhole,9.8,0,0,82,3.1972,119.24
COVID,4/21/20,1205,Backdoor,13.2,0,0,82,3.1972,119.24
COVID,4/21/20,1205,Backdoor,13.1,0,0,82,3.1972,119.24
COVID,4/21/20,1205,Backdoor,11.3,0,0,82,3.1972,119.24
COVID,4/21/20,1205,Backdoor,11.5,0,0,82,3.1972,119.24
COVID,4/21/20,1302,WitchesBrew,8.2,0,0,82,3.1972,119.24
COVID,4/21/20,1302,WitchesBrew,8.7,0,0,82,3.1972,119.24
COVID,4/21/20,1302,WitchesBrew,8.7,0,0,82,3.1972,119.24
COVID,4/21/20,1302,WitchesBrew,7.8,0,0,82,3.1972,119.24
COVID,4/28/20,1121,Channel,17.9,0,0,53,4.0124,99.72
COVID,4/28/20,1121,Channel,16.2,0,0,53,4.0124,99.72
COVID,4/28/20,1121,Channel,15.3,0,0,53,4.0124,99.72
COVID,4/28/20,1121,Channel,16.8,0,0,53,4.0124,99.72
COVID,4/28/20,851,Keyhole,18,0,0,53,4.0124,99.72
COVID,4/28/20,851,Keyhole,18.7,0,0,53,4.0124,99.72
COVID,4/28/20,851,Keyhole,17.4,0,0,53,4.0124,99.72
COVID,4/28/20,851,Keyhole,16.8,0,0,53,4.0124,99.72
COVID,4/28/20,942,Backdoor,18.5,0,0,53,4.0124,99.72
COVID,4/28/20,942,Backdoor,16.3,0,0,53,4.0124,99.72
COVID,4/28/20,942,Backdoor,17.2,0,0,53,4.0124,99.72
COVID,4/28/20,942,Backdoor,18,0,0,53,4.0124,99.72
COVID,4/28/20,1209,WitchesBrew,11.6,0,0,53,4.0124,99.72
COVID,4/28/20,1209,WitchesBrew,9.5,0,0,53,4.0124,99.72
COVID,4/28/20,1209,WitchesBrew,11.6,0,0,53,4.0124,99.72
COVID,4/28/20,1209,WitchesBrew,10.1,0,0,53,4.0124,99.72
COVID,5/8/20,1240,Channel,8.3,0,0,102,5.8388,86.04
COVID,5/8/20,1240,Channel,8.4,0,0,102,5.8388,86.04
COVID,5/8/20,1240,Channel,8.7,0,0,102,5.8388,86.04
COVID,5/8/20,1240,Channel,7.6,0,0,102,5.8388,86.04
COVID,5/8/20,1136,Keyhole,11.7,0,0,102,5.8388,86.04
COVID,5/8/20,1136,Keyhole,12.2,0,0,102,5.8388,86.04
COVID,5/8/20,1136,Keyhole,11.8,0,0,102,5.8388,86.04
COVID,5/8/20,1136,Keyhole,13.3,0,0,102,5.8388,86.04
COVID,5/8/20,1038,Backdoor,15.9,0,0,102,5.8388,86.04
COVID,5/8/20,1038,Backdoor,16.6,0,0,102,5.8388,86.04
COVID,5/8/20,1038,Backdoor,14.1,0,0,102,5.8388,86.04
COVID,5/8/20,1038,Backdoor,13.8,0,0,102,5.8388,86.04
COVID,5/8/20,1337,WitchesBrew,4.6,0,0,102,5.8388,86.04
COVID,5/8/20,1337,WitchesBrew,5.1,0,0,102,5.8388,86.04
COVID,5/8/20,1337,WitchesBrew,5.1,0,0,102,5.8388,86.04
COVID,5/8/20,1337,WitchesBrew,4.7,0,0,102,5.8388,86.04
COVID,5/12/20,1057,Channel,13.2,0,0,52,4.4716,62.04
COVID,5/12/20,1057,Channel,11.4,0,0,52,4.4716,62.04
COVID,5/12/20,1057,Channel,12.4,0,0,52,4.4716,62.04
COVID,5/12/20,1057,Channel,12.1,0,0,52,4.4716,62.04
COVID,5/12/20,837,Keyhole,21.5,0,0,52,4.4716,62.04
COVID,5/12/20,837,Keyhole,20.7,0,0,52,4.4716,62.04
COVID,5/12/20,837,Keyhole,19.2,0,0,52,4.4716,62.04
COVID,5/12/20,837,Keyhole,19.1,0,0,52,4.4716,62.04
COVID,5/12/20,901,Backdoor,18.7,0,0,52,4.4716,62.04
COVID,5/12/20,901,Backdoor,18.3,0,0,52,4.4716,62.04
COVID,5/12/20,901,Backdoor,17.6,0,0,52,4.4716,62.04
COVID,5/12/20,901,Backdoor,18.2,0,0,52,4.4716,62.04
COVID,5/12/20,1143,WitchesBrew,11.4,0,0,52,4.4716,62.04
COVID,5/12/20,1143,WitchesBrew,11.4,0,0,52,4.4716,62.04
COVID,5/12/20,1143,WitchesBrew,11.2,0,0,52,4.4716,62.04
COVID,5/12/20,1143,WitchesBrew,10,0,0,52,4.4716,62.04
COVID,5/19/20,1222,Channel,9.3,0,0,70,3.1816,98.8
COVID,5/19/20,1222,Channel,8.7,0,0,70,3.1816,98.8
COVID,5/19/20,1222,Channel,9.5,0,0,70,3.1816,98.8
COVID,5/19/20,1222,Channel,7.5,0,0,70,3.1816,98.8
COVID,5/19/20,1117,Keyhole,8,0,0,70,3.1816,98.8
COVID,5/19/20,1117,Keyhole,8.4,0,0,70,3.1816,98.8
COVID,5/19/20,1117,Keyhole,8.2,0,0,70,3.1816,98.8
COVID,5/19/20,1117,Keyhole,8,0,0,70,3.1816,98.8
COVID,5/19/20,1030,Backdoor,10.8,0,0,70,3.1816,98.8
COVID,5/19/20,1030,Backdoor,11.1,0,0,70,3.1816,98.8
COVID,5/19/20,1030,Backdoor,8.4,0,0,70,3.1816,98.8
COVID,5/19/20,1030,Backdoor,6.8,0,0,70,3.1816,98.8
COVID,5/19/20,1317,WitchesBrew,4.1,0,0,70,3.1816,98.8
COVID,5/19/20,1317,WitchesBrew,4.3,0,0,70,3.1816,98.8
COVID,5/19/20,1317,WitchesBrew,3.1,0,0,70,3.1816,98.8
COVID,5/19/20,1317,WitchesBrew,3.5,0,0,70,3.1816,98.8
COVID,5/26/20,1014,Channel,10.7,0,0,66,3.3756,189.72
COVID,5/26/20,1014,Channel,11.5,0,0,66,3.3756,189.72
COVID,5/26/20,1014,Channel,12.5,0,0,66,3.3756,189.72
COVID,5/26/20,1014,Channel,11.5,0,0,66,3.3756,189.72
COVID,5/26/20,816,Keyhole,15.1,0,0,66,3.3756,189.72
COVID,5/26/20,816,Keyhole,15.6,0,0,66,3.3756,189.72
COVID,5/26/20,816,Keyhole,17.7,0,0,66,3.3756,189.72
COVID,5/26/20,816,Keyhole,16.5,0,0,66,3.3756,189.72
COVID,5/26/20,900,Backdoor,13.6,0,0,66,3.3756,189.72
COVID,5/26/20,900,Backdoor,14.4,0,0,66,3.3756,189.72
COVID,5/26/20,900,Backdoor,12.5,0,0,66,3.3756,189.72
COVID,5/26/20,900,Backdoor,13.1,0,0,66,3.3756,189.72
COVID,5/26/20,1102,WitchesBrew,10.7,0,0,66,3.3756,189.72
COVID,5/26/20,1102,WitchesBrew,10.4,0,0,66,3.3756,189.72
COVID,5/26/20,1102,WitchesBrew,10.4,0,0,66,3.3756,189.72
COVID,5/26/20,1102,WitchesBrew,10.8,0,0,66,3.3756,189.72
COVID,5/28/20,848,Channel,11.1,0,0,54,3.5604,88.56
COVID,5/28/20,848,Channel,11.9,0,0,54,3.5604,88.56
COVID,5/28/20,848,Channel,12.5,0,0,54,3.5604,88.56
COVID,5/28/20,848,Channel,13.1,0,0,54,3.5604,88.56
COVID,5/28/20,1131,Keyhole,11.6,0,0,54,3.5604,88.56
COVID,5/28/20,1131,Keyhole,10.8,0,0,54,3.5604,88.56
COVID,5/28/20,1131,Keyhole,13,0,0,54,3.5604,88.56
COVID,5/28/20,1131,Keyhole,13.1,0,0,54,3.5604,88.56
COVID,5/28/20,1055,Backdoor,14,0,0,54,3.5604,88.56
COVID,5/28/20,1055,Backdoor,14.4,0,0,54,3.5604,88.56
COVID,5/28/20,1055,Backdoor,12.4,0,0,54,3.5604,88.56
COVID,5/28/20,1055,Backdoor,13.4,0,0,54,3.5604,88.56
