"rep","time","fish","human","human_binom","period"
"Hanauma Bay-Backdoor-B-2020_12_16",707,4,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",708,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",709,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",710,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",711,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",712,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",713,3,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",714,2,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",715,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",716,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",717,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",718,2,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",719,2,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",720,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",721,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",722,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",723,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",724,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",725,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",726,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",727,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",728,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",729,1,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",730,2,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",731,2,0,FALSE,"before"
"Hanauma Bay-Backdoor-B-2020_12_16",732,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",733,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",734,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",735,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",736,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",737,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",738,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",739,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",740,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",741,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",742,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",743,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",744,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",745,2,1,TRUE,"during"
"Hanauma Bay-Backdoor-B-2020_12_16",746,2,0,FALSE,"after"
"Hanauma Bay-Backdoor-B-2020_12_16",747,1,0,FALSE,"after"
"Hanauma Bay-Backdoor-B-2020_12_16",748,1,0,FALSE,"after"
"Hanauma Bay-Backdoor-B-2020_12_16",749,1,0,FALSE,"after"
"Hanauma Bay-Backdoor-B-2020_12_16",750,1,0,FALSE,"after"
"Hanauma Bay-Backdoor-B-2020_12_16",751,1,0,FALSE,"after"
